Condition,Cycle,N,Mean (mJ),Std (mJ)
5% formalin / no glycerin,1,2,0.8609950000000097,0.045785164081821476
5% formalin / no glycerin,30,2,0.480512499999989,0.004437095051977323
5% formalin / no glycerin,60,2,0.4517424999999804,0.020905611985793982
5% formalin / glycerin,1,3,1.313711666666677,0.18376322430869538
5% formalin / glycerin,30,3,0.7314850000000112,0.08183390021871641
5% formalin / glycerin,60,3,0.6593583333333205,0.04594006865830819
10% formalin / no glycerin,1,2,0.634449999999994,0.1827800318688969
10% formalin / no glycerin,30,2,0.4368274999999926,0.1396641958860679
10% formalin / no glycerin,60,2,0.40372750000000224,0.1332365952450718
10% formalin / glycerin,1,3,0.9985866666666775,0.0407354870884591
10% formalin / glycerin,30,3,0.576328333333322,0.023311066756671203
10% formalin / glycerin,60,3,0.544351666666652,0.025633155450194296
